Wavelength nm.	mq_01 - ...	chemocean_06 - ...	chemocean_07 - ...	chemocean_08 - ...	chemocean_09 - ...	chemocean_10 - ...	chemocean_NO3-0 - ...	chemocean_NO3-1 - ...	chemocean_NO3-2 - ...	chemocean_NO3-3 - ...	chemocean_NO3-4 - ...	chemocean_BR-1 - ...	chemocean_Br-2 - ...	chemocean_Br-3 - ...	chemocean_Br-0 - ...
393.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.001	0.001	0.018	0.002	0.001	0.004
394.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.000	0.000	0.001	0.018	0.002	0.001	0.004
395.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.000	0.001	0.001	0.000	0.000	0.018	0.002	0.001	0.004
396.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.000	0.000	0.018	0.002	0.001	0.004
397.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.001	0.001	0.018	0.002	0.001	0.004
398.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.018	0.002	0.001	0.004
399.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.000	0.001	0.001	0.000	0.000	0.018	0.002	0.001	0.004
400.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.000	0.001	0.018	0.002	0.001	0.004
401.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.001	0.001	0.001	0.001	0.001	0.018	0.002	0.001	0.004
402.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.000	0.001	0.001	0.001	0.000	0.017	0.002	0.001	0.004
403.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.000	0.001	0.001	0.000	0.000	0.017	0.002	0.001	0.004
404.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.000	0.001	0.001	0.001	0.001	0.017	0.002	0.001	0.004
405.00	-0.000	0.003	0.006	0.004	0.002	0.002	0.000	0.001	0.001	0.001	0.000	0.017	0.002	0.001	0.004
406.00	-0.000	0.003	0.005	0.003	0.002	0.003	0.000	0.001	0.001	0.000	0.000	0.017	0.002	0.000	0.004
407.00	-0.000	0.003	0.005	0.004	0.002	0.003	0.000	0.001	0.001	0.000	0.001	0.017	0.002	0.000	0.003
408.00	-0.000	0.003	0.006	0.004	0.002	0.003	0.001	0.001	0.001	0.001	0.000	0.017	0.002	0.001	0.004
409.00	0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.000	0.001	0.017	0.002	0.001	0.004
410.00	-0.000	0.003	0.005	0.004	0.002	0.003	0.000	0.001	0.001	0.000	0.001	0.017	0.002	0.001	0.004
411.00	-0.000	0.003	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.017	0.002	0.001	0.004
412.00	0.000	0.003	0.006	0.004	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.017	0.002	0.001	0.004
413.00	-0.000	0.003	0.005	0.004	0.002	0.003	0.001	0.001	0.001	0.000	0.001	0.017	0.002	0.001	0.004
414.00	-0.000	0.003	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.017	0.001	0.001	0.004
415.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.001	0.017	0.001	0.001	0.004
416.00	-0.000	0.003	0.005	0.003	0.002	0.003	0.000	0.001	0.001	0.000	0.001	0.017	0.002	0.001	0.004
417.00	-0.000	0.003	0.006	0.004	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.016	0.001	0.001	0.003
418.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.001	0.004
419.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.000	0.000	0.000	0.016	0.001	0.001	0.004
420.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.016	0.002	0.001	0.004
421.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.001	0.004
422.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.001	0.016	0.002	0.001	0.004
423.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.016	0.002	0.001	0.004
424.00	0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.001	0.000	0.016	0.001	0.001	0.004
425.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.000	0.000	0.000	0.016	0.001	0.000	0.004
426.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
427.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.001	0.004
428.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.004
429.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
430.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
431.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.004
432.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.016	0.001	0.000	0.003
433.00	-0.000	0.003	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.001	0.004
434.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
435.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.016	0.001	0.000	0.003
436.00	0.000	0.002	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.016	0.001	0.001	0.004
437.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
438.00	-0.000	0.002	0.005	0.003	0.001	0.002	0.001	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
439.00	0.000	0.002	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.016	0.001	0.001	0.004
440.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.004
441.00	-0.000	0.002	0.005	0.003	0.001	0.002	0.000	0.001	0.001	0.000	0.000	0.016	0.001	0.000	0.003
442.00	0.000	0.002	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.015	0.001	0.000	0.003
443.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.004
444.00	-0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.000	0.001	0.015	0.001	0.000	0.003
445.00	-0.000	0.002	0.005	0.003	0.001	0.002	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
446.00	-0.000	0.002	0.005	0.003	0.002	0.001	0.000	0.001	0.000	0.000	0.000	0.015	0.001	0.000	0.003
447.00	-0.000	0.002	0.005	0.003	0.001	0.002	0.000	0.001	0.001	0.000	0.001	0.015	0.001	0.000	0.003
448.00	-0.000	0.002	0.005	0.003	0.001	0.002	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
449.00	-0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.015	0.001	0.000	0.003
450.00	-0.000	0.002	0.004	0.003	0.001	0.002	0.000	0.001	0.001	0.000	0.001	0.015	0.001	0.000	0.003
451.00	0.000	0.002	0.005	0.003	0.002	0.002	0.000	0.001	0.001	0.001	0.001	0.015	0.001	0.001	0.003
452.00	-0.000	0.002	0.005	0.003	0.002	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
453.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.015	0.001	0.000	0.003
454.00	-0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
455.00	-0.000	0.002	0.004	0.003	0.002	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.004
456.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.015	0.001	0.000	0.003
457.00	-0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
458.00	-0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
459.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
460.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
461.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
462.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.015	0.001	0.000	0.003
463.00	0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.001	0.001	0.000	0.015	0.001	0.000	0.003
464.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
465.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
466.00	-0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
467.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
468.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
469.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
470.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
471.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
472.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
473.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
474.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
475.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
476.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
477.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
478.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
479.00	-0.000	0.002	0.004	0.003	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
480.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
481.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
482.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.004
483.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
484.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
485.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
486.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.001	0.014	0.001	0.000	0.003
487.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
488.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
489.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
490.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
491.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
492.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.013	0.001	0.000	0.003
493.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.001	0.000	0.014	0.001	0.000	0.003
494.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
495.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
496.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.014	0.001	0.000	0.003
497.00	0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
498.00	0.000	0.002	0.004	0.002	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.003
499.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
500.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
501.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
502.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
503.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
504.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.013	0.001	0.000	0.003
505.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
506.00	0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
507.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
508.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
509.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
510.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
511.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
512.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
513.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.013	0.001	0.000	0.003
514.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.013	0.001	0.000	0.003
515.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
516.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
517.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
518.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
519.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
520.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
521.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
522.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
523.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
524.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
525.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
526.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
527.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
528.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
529.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
530.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
531.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
532.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
533.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
534.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
535.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.012	0.001	0.000	0.003
536.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.012	0.001	0.000	0.003
537.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.010	0.001	0.000	0.003
538.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.009	0.001	0.000	0.004
539.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.009	0.001	0.000	0.003
540.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.009	0.001	0.000	0.003
541.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.009	0.001	0.000	0.003
542.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.009	0.001	0.000	0.003
543.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.009	0.001	0.000	0.004
544.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.009	0.001	0.000	0.003
545.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.009	0.001	0.000	0.003
546.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.009	0.001	0.000	0.003
547.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.009	0.001	0.000	0.003
548.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
549.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
550.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
551.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
552.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
553.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
554.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
555.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
556.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
557.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
558.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
559.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
560.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
561.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
562.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
563.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
564.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
565.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
566.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
567.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
568.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
569.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
570.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
571.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
572.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
573.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
574.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
575.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
576.00	-0.000	0.002	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
577.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
578.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
579.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.008	0.001	0.000	0.003
580.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.008	0.001	0.000	0.003
581.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
582.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.001	0.000	0.000	0.008	0.001	0.000	0.003
583.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	0.000	0.003
584.00	-0.000	0.001	0.004	0.001	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	0.000	0.003
585.00	-0.000	0.001	0.004	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.007	0.001	0.000	0.003
586.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
587.00	-0.000	0.001	0.004	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
588.00	-0.000	0.001	0.003	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
589.00	-0.000	0.001	0.003	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
590.00	-0.000	0.001	0.004	0.001	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	0.000	0.003
591.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
592.00	-0.000	0.001	0.003	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.007	0.001	0.000	0.003
593.00	-0.000	0.001	0.003	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.007	0.001	0.000	0.003
594.00	-0.000	0.001	0.003	0.001	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
595.00	-0.000	0.001	0.003	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
596.00	-0.000	0.001	0.003	0.001	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	0.000	0.003
597.00	-0.000	0.001	0.003	0.001	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
598.00	-0.000	0.001	0.003	0.002	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.007	0.001	-0.000	0.003
599.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.000	0.001	0.000	0.000	0.007	0.001	0.000	0.003
600.00	-0.000	0.001	0.004	0.002	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.007	0.001	0.000	0.003
