Depth_m,NO3_umol_per_kg,PO4_umol_per_kg
10.4244,0,0.13
49.7344,0,0.13
99.8536,5.8,0.49
198.964,9.2,0.74
298.424,12.6,0.97
395.457,17.4,1.31
597.801,31.8,2.38
792.333,39.8,2.9
994.488,43.6,3.16
1233.26,44.6,3.22
1490.79,44.4,3.16
1730.19,43.1,3.07
1969.61,42.1,3.04
2222.61,41,2.91
2467.36,40.1,2.83
2711.84,39.4,2.75
2956.63,38.8,2.69
3446.65,37.4,2.61
3934.11,36.9,2.59
4421.19,36.4,2.54
4908.76,36.2,2.51
5391.12,35.9,2.49
5700.39,36,2.49
